INFO 2016-10-18 20:39:12,434 Overall VALIDATION loss is: 2.2704436779
INFO 2016-10-18 20:39:12,435 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:39:12,883 Mean loss in 13th epoch is: 2.30004501343
INFO 2016-10-18 20:39:13,296 Overall VALIDATION loss is: 2.2403845787
INFO 2016-10-18 20:39:13,296 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:39:14,908 Mean loss in 14th epoch is: 2.25919008255
INFO 2016-10-18 20:39:15,284 Overall VALIDATION loss is: 2.26483654976
INFO 2016-10-18 20:39:15,284 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:39:15,754 Mean loss in 15th epoch is: 2.25601935387
INFO 2016-10-18 20:39:16,134 Overall VALIDATION loss is: 2.24246883392
INFO 2016-10-18 20:39:16,135 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:39:16,582 Mean loss in 16th epoch is: 2.22844600677
INFO 2016-10-18 20:39:16,940 Overall VALIDATION loss is: 2.21343040466
INFO 2016-10-18 20:39:16,940 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:39:18,538 Mean loss in 17th epoch is: 2.20380043983
INFO 2016-10-18 20:39:18,920 Overall VALIDATION loss is: 2.18267726898
INFO 2016-10-18 20:39:18,921 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:39:20,469 Mean loss in 18th epoch is: 2.1983101368
INFO 2016-10-18 20:39:20,864 Overall VALIDATION loss is: 2.28535294533
INFO 2016-10-18 20:39:20,864 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:39:21,308 Mean loss in 19th epoch is: 2.20878529549
INFO 2016-10-18 20:39:21,677 Overall VALIDATION loss is: 2.18000507355
INFO 2016-10-18 20:39:21,677 Overall VALIDATION accuracy is: 0.0
INFO 2016-10-18 20:39:23,223 Mean loss in 20th epoch is: 2.17537307739
INFO 2016-10-18 20:39:23,614 Overall VALIDATION loss is: 2.1459903717
